

Software Version	2.01.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Venus_96wellgrowthcurve_170301_140038.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\96wellgrowthcurve.prt



Plate Number	Plate 1
Date	3/1/2017
Time	2:00:38 PM
Reader Type:	Synergy Mx
Reader Serial Number:	219512
Reading Type	Reader

Procedure Details

Plate Type	48 WELL PLATE
Set Temperature	Setpoint 25°C
	Preheat before moving to next step
Shake	Medium, 0:10 (MM:SS)
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Start Kinetic	Runtime 120:00:00 (HH:MM:SS), Interval 0:30:00, 241 Reads
    Shake	Slow, Continuous
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

Layout
	1	2	3	4	5	6	7	8
A	SPL1	SPL9	SPL17	SPL25	SPL33	SPL41	SPL49	SPL57	Well ID
B	SPL2	SPL10	SPL18	SPL26	SPL34	SPL42	SPL50	SPL58	Well ID
C	SPL3	SPL11	SPL19	SPL27	SPL35	SPL43	SPL51	SPL59	Well ID
D	SPL4	SPL12	SPL20	SPL28	SPL36	SPL44	SPL52	SPL60	Well ID
E	SPL5	SPL13	SPL21	SPL29	SPL37	SPL45	SPL53	SPL61	Well ID
F	SPL6	SPL14	SPL22	SPL30	SPL38	SPL46	SPL54	SPL62	Well ID



Actual Temperature:	22.6

Results
	1	2	3	4	5	6	7	8
A	0.037	0.035	0.035	0.036	0.036	0.037	0.036	0.036	Read 1:600
B	0.038	0.038	0.038	0.037	0.039	0.038	0.136	0.035	Read 1:600
C	0.036	0.059	0.060	0.059	0.061	0.038	0.110	0.035	Read 1:600
D	0.036	0.072	0.061	0.100	0.068	0.039	0.088	0.037	Read 1:600
E	0.036	0.117	0.069	0.084	0.103	0.039	0.087	0.038	Read 1:600
F	0.038	0.037	0.038	0.037	0.036	0.036	0.036	0.038	Read 1:600

Read 2:600

Time	T° Read 2:600	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8	E1	E2	E3	E4	E5	E6	E7	E8	F1	F2	F3	F4	F5	F6	F7	F8
28:59:43	25.0	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.210	0.034	0.036	0.061	0.064	0.065	0.067	0.038	1.211	0.035	0.035	1.288	1.296	1.302	1.292	0.039	1.202	0.037	0.036	1.244	1.258	1.269	1.267	0.038	1.212	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.035	0.037
29:29:43	25.0	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.206	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.208	0.035	0.035	1.281	1.290	1.294	1.286	0.039	1.198	0.036	0.036	1.239	1.254	1.262	1.262	0.038	1.209	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.035	0.037
29:59:43	25.0	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.204	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.204	0.035	0.035	1.276	1.284	1.286	1.279	0.039	1.196	0.036	0.036	1.233	1.246	1.256	1.255	0.038	1.205	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.035	0.037
30:29:43	25.0	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.202	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.203	0.035	0.035	1.269	1.277	1.279	1.272	0.039	1.194	0.036	0.036	1.227	1.240	1.249	1.248	0.038	1.202	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.037
30:59:43	25.0	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.199	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.200	0.035	0.035	1.263	1.270	1.271	1.264	0.039	1.191	0.036	0.036	1.221	1.233	1.242	1.240	0.038	1.199	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.037
31:29:43	25.0	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.196	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.198	0.035	0.035	1.256	1.263	1.265	1.257	0.039	1.188	0.036	0.036	1.214	1.227	1.236	1.235	0.038	1.196	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.035	0.037
31:59:43	25.0	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.194	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.196	0.035	0.035	1.248	1.255	1.258	1.249	0.039	1.186	0.036	0.036	1.208	1.221	1.229	1.228	0.038	1.193	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.037
32:29:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.193	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.194	0.035	0.035	1.242	1.249	1.252	1.242	0.039	1.184	0.037	0.036	1.202	1.215	1.223	1.221	0.038	1.190	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.035	0.037
32:59:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.190	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.192	0.035	0.036	1.235	1.242	1.246	1.235	0.039	1.182	0.036	0.036	1.196	1.208	1.217	1.215	0.038	1.186	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.037
33:29:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.186	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.189	0.035	0.035	1.228	1.236	1.239	1.229	0.039	1.179	0.036	0.036	1.189	1.202	1.211	1.209	0.038	1.184	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.037
33:59:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.184	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.186	0.035	0.035	1.222	1.230	1.233	1.223	0.039	1.176	0.036	0.036	1.183	1.196	1.205	1.203	0.038	1.180	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.037
34:29:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.180	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.185	0.035	0.035	1.216	1.224	1.226	1.216	0.039	1.174	0.036	0.036	1.177	1.191	1.200	1.197	0.038	1.176	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.037
34:59:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.179	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.181	0.035	0.035	1.210	1.218	1.221	1.210	0.039	1.171	0.036	0.036	1.171	1.185	1.194	1.191	0.038	1.173	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.037
35:29:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.175	0.034	0.035	0.061	0.065	0.065	0.067	0.038	1.178	0.035	0.035	1.203	1.212	1.215	1.205	0.039	1.169	0.036	0.036	1.166	1.180	1.188	1.186	0.038	1.171	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.037
35:59:43	25.1	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.171	0.034	0.035	0.061	0.065	0.065	0.067	0.038	1.176	0.035	0.035	1.197	1.206	1.209	1.200	0.039	1.165	0.036	0.036	1.160	1.175	1.184	1.180	0.038	1.166	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.035	0.037
36:29:43	25.1	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.171	0.034	0.035	0.061	0.065	0.065	0.067	0.038	1.173	0.035	0.035	1.191	1.201	1.204	1.193	0.039	1.163	0.036	0.036	1.155	1.170	1.179	1.175	0.038	1.164	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.037
36:59:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.166	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.170	0.035	0.035	1.186	1.195	1.197	1.188	0.039	1.160	0.036	0.036	1.150	1.165	1.174	1.170	0.038	1.160	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
37:29:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.163	0.034	0.035	0.061	0.065	0.065	0.067	0.038	1.167	0.035	0.035	1.180	1.190	1.192	1.183	0.039	1.156	0.036	0.036	1.145	1.161	1.170	1.166	0.038	1.156	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
37:59:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.159	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.165	0.035	0.035	1.175	1.185	1.187	1.178	0.039	1.153	0.036	0.036	1.141	1.156	1.165	1.161	0.038	1.153	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
38:29:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.157	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.161	0.035	0.035	1.169	1.179	1.182	1.172	0.039	1.151	0.036	0.036	1.136	1.152	1.160	1.155	0.038	1.149	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
38:59:43	25.1	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.155	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.159	0.035	0.035	1.164	1.174	1.177	1.167	0.039	1.148	0.036	0.036	1.132	1.148	1.157	1.152	0.038	1.146	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
39:29:43	25.1	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.150	0.034	0.035	0.061	0.065	0.065	0.067	0.038	1.156	0.035	0.035	1.159	1.170	1.173	1.162	0.039	1.144	0.036	0.036	1.128	1.144	1.154	1.147	0.038	1.143	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.037
39:59:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.150	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.155	0.035	0.035	1.154	1.164	1.167	1.157	0.039	1.142	0.036	0.036	1.125	1.141	1.151	1.143	0.038	1.140	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
40:29:43	25.0	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.147	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.152	0.035	0.035	1.149	1.160	1.164	1.153	0.039	1.140	0.036	0.036	1.122	1.139	1.149	1.139	0.038	1.139	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
40:59:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.146	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.150	0.035	0.035	1.144	1.155	1.160	1.147	0.039	1.138	0.036	0.036	1.121	1.136	1.147	1.136	0.038	1.137	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
41:29:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.145	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.149	0.035	0.035	1.139	1.150	1.156	1.143	0.039	1.137	0.036	0.036	1.118	1.135	1.145	1.133	0.038	1.136	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
41:59:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.140	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.148	0.035	0.035	1.135	1.146	1.152	1.139	0.039	1.135	0.036	0.036	1.117	1.133	1.143	1.130	0.038	1.134	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
42:29:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.038	0.039	0.038	1.141	0.034	0.035	0.061	0.064	0.065	0.067	0.038	1.147	0.035	0.035	1.130	1.142	1.148	1.134	0.039	1.134	0.036	0.036	1.115	1.132	1.142	1.129	0.038	1.132	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
42:59:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.139	0.034	0.035	0.061	0.063	0.065	0.067	0.038	1.145	0.035	0.035	1.125	1.137	1.144	1.130	0.039	1.132	0.036	0.036	1.113	1.129	1.140	1.126	0.038	1.130	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
43:29:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.138	0.034	0.035	0.061	0.063	0.065	0.067	0.038	1.144	0.035	0.035	1.121	1.134	1.141	1.126	0.039	1.131	0.036	0.036	1.111	1.127	1.139	1.125	0.038	1.129	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
43:59:43	25.2	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.136	0.034	0.035	0.061	0.063	0.065	0.067	0.038	1.143	0.035	0.035	1.117	1.130	1.138	1.122	0.039	1.129	0.036	0.036	1.110	1.126	1.137	1.123	0.038	1.126	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
44:29:43	25.2	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.135	0.034	0.035	0.061	0.063	0.065	0.067	0.038	1.142	0.035	0.035	1.112	1.125	1.136	1.118	0.039	1.128	0.036	0.036	1.109	1.125	1.137	1.121	0.038	1.125	0.037	0.037	0.036	0.036	0.036	0.035	0.035	0.035	0.036
44:59:43	25.2	0.035	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.134	0.034	0.035	0.061	0.063	0.065	0.067	0.038	1.141	0.035	0.035	1.108	1.121	1.134	1.115	0.039	1.128	0.036	0.036	1.108	1.124	1.135	1.121	0.038	1.125	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
45:29:43	25.2	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.133	0.034	0.035	0.061	0.063	0.065	0.067	0.038	1.140	0.035	0.035	1.103	1.117	1.132	1.112	0.039	1.127	0.036	0.036	1.106	1.123	1.134	1.119	0.038	1.123	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
45:59:43	25.2	0.035	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.131	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.139	0.035	0.035	1.099	1.114	1.131	1.110	0.039	1.124	0.036	0.036	1.104	1.121	1.132	1.118	0.038	1.122	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
46:29:43	25.2	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.130	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.136	0.035	0.035	1.095	1.111	1.129	1.108	0.039	1.123	0.036	0.036	1.103	1.119	1.131	1.116	0.038	1.119	0.037	0.037	0.036	0.036	0.035	0.035	0.035	0.035	0.036
46:59:43	25.2	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.128	0.034	0.035	0.061	0.063	0.065	0.067	0.038	1.135	0.035	0.035	1.093	1.109	1.127	1.107	0.039	1.123	0.036	0.036	1.101	1.118	1.129	1.115	0.038	1.118	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
47:29:43	25.2	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.125	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.133	0.035	0.035	1.089	1.105	1.126	1.104	0.039	1.121	0.036	0.036	1.099	1.116	1.127	1.114	0.038	1.117	0.037	0.037	0.036	0.036	0.035	0.035	0.035	0.035	0.036
47:59:43	25.1	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.125	0.034	0.035	0.061	0.063	0.065	0.067	0.038	1.133	0.035	0.035	1.087	1.103	1.124	1.103	0.039	1.120	0.036	0.036	1.099	1.115	1.127	1.113	0.038	1.116	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
48:29:43	25.1	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.125	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.132	0.035	0.035	1.085	1.102	1.122	1.101	0.039	1.119	0.036	0.036	1.097	1.113	1.125	1.111	0.038	1.114	0.037	0.037	0.036	0.036	0.036	0.035	0.035	0.035	0.036
48:59:43	25.1	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.123	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.132	0.035	0.035	1.085	1.101	1.122	1.101	0.039	1.118	0.036	0.036	1.097	1.113	1.124	1.111	0.038	1.114	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
49:29:43	25.1	0.035	0.034	0.035	0.036	0.036	0.036	0.035	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.123	0.034	0.035	0.061	0.063	0.065	0.067	0.038	1.131	0.035	0.035	1.083	1.100	1.120	1.100	0.039	1.117	0.036	0.036	1.095	1.112	1.123	1.110	0.038	1.112	0.037	0.037	0.036	0.037	0.036	0.035	0.035	0.035	0.036
49:59:43	25.1	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.122	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.130	0.035	0.035	1.082	1.099	1.119	1.099	0.039	1.117	0.036	0.035	1.094	1.111	1.123	1.109	0.038	1.111	0.037	0.037	0.036	0.036	0.035	0.035	0.035	0.035	0.036
50:29:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.120	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.129	0.035	0.035	1.080	1.097	1.117	1.097	0.038	1.114	0.036	0.035	1.092	1.109	1.121	1.107	0.038	1.110	0.037	0.037	0.036	0.036	0.035	0.035	0.035	0.034	0.036
50:59:43	25.1	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.119	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.128	0.035	0.035	1.078	1.096	1.116	1.098	0.039	1.113	0.036	0.036	1.091	1.108	1.119	1.106	0.038	1.108	0.037	0.037	0.036	0.036	0.036	0.035	0.035	0.035	0.036
51:29:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.119	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.127	0.035	0.035	1.078	1.095	1.116	1.096	0.039	1.113	0.036	0.035	1.089	1.107	1.118	1.105	0.038	1.107	0.037	0.037	0.036	0.036	0.035	0.035	0.035	0.035	0.036
51:59:43	25.1	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.117	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.126	0.035	0.035	1.077	1.094	1.115	1.096	0.039	1.113	0.036	0.036	1.089	1.107	1.118	1.105	0.038	1.107	0.037	0.037	0.036	0.036	0.036	0.035	0.035	0.035	0.036
52:29:43	25.1	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.116	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.126	0.035	0.035	1.076	1.093	1.114	1.095	0.039	1.111	0.036	0.036	1.088	1.106	1.117	1.104	0.038	1.105	0.037	0.037	0.036	0.036	0.036	0.035	0.035	0.035	0.036
52:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.116	0.033	0.035	0.061	0.062	0.065	0.067	0.038	1.124	0.035	0.035	1.075	1.093	1.113	1.094	0.039	1.110	0.036	0.035	1.087	1.105	1.116	1.103	0.038	1.104	0.037	0.037	0.036	0.036	0.035	0.035	0.035	0.035	0.036
53:29:43	25.1	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.117	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.124	0.035	0.035	1.074	1.092	1.113	1.094	0.039	1.109	0.036	0.036	1.086	1.103	1.115	1.102	0.038	1.104	0.037	0.037	0.036	0.036	0.036	0.035	0.035	0.035	0.036
53:59:43	25.1	0.034	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.112	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.121	0.035	0.035	1.073	1.090	1.111	1.092	0.039	1.108	0.036	0.036	1.084	1.102	1.113	1.101	0.038	1.102	0.037	0.037	0.036	0.036	0.035	0.035	0.035	0.035	0.036
54:29:43	25.1	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.037	0.038	0.038	0.037	0.039	0.038	1.111	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.121	0.035	0.035	1.072	1.089	1.111	1.091	0.039	1.107	0.036	0.036	1.083	1.101	1.112	1.100	0.038	1.101	0.037	0.037	0.036	0.036	0.036	0.035	0.035	0.035	0.036
54:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.036	0.036	0.037	0.038	0.037	0.039	0.038	1.111	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.119	0.035	0.035	1.070	1.088	1.109	1.091	0.039	1.106	0.036	0.035	1.081	1.100	1.111	1.099	0.038	1.100	0.037	0.037	0.036	0.036	0.035	0.035	0.035	0.035	0.036
55:29:43	25.1	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.109	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.118	0.035	0.035	1.069	1.087	1.107	1.090	0.039	1.104	0.036	0.036	1.080	1.098	1.109	1.097	0.038	1.098	0.037	0.037	0.036	0.036	0.036	0.035	0.035	0.035	0.036
55:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.107	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.117	0.035	0.035	1.067	1.085	1.107	1.089	0.039	1.104	0.036	0.035	1.078	1.097	1.108	1.096	0.038	1.096	0.037	0.037	0.036	0.036	0.035	0.035	0.035	0.035	0.036
56:29:43	25.1	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.106	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.116	0.035	0.035	1.065	1.084	1.106	1.087	0.039	1.101	0.036	0.036	1.077	1.095	1.106	1.094	0.038	1.095	0.037	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.036
56:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.105	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.115	0.035	0.035	1.063	1.083	1.104	1.086	0.039	1.102	0.036	0.035	1.074	1.094	1.105	1.093	0.038	1.093	0.037	0.037	0.036	0.036	0.035	0.035	0.035	0.034	0.036
57:29:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.103	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.114	0.035	0.035	1.061	1.081	1.103	1.085	0.039	1.099	0.035	0.035	1.073	1.092	1.103	1.092	0.038	1.092	0.037	0.036	0.036	0.036	0.035	0.035	0.035	0.034	0.035
57:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.103	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.113	0.035	0.035	1.060	1.080	1.102	1.084	0.039	1.099	0.036	0.036	1.072	1.091	1.102	1.090	0.038	1.089	0.037	0.037	0.036	0.036	0.035	0.035	0.035	0.034	0.036
58:29:43	25.1	0.034	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.102	0.034	0.035	0.061	0.063	0.065	0.067	0.038	1.112	0.035	0.035	1.058	1.079	1.101	1.082	0.039	1.097	0.036	0.036	1.070	1.089	1.101	1.089	0.038	1.089	0.037	0.037	0.036	0.036	0.035	0.035	0.035	0.034	0.036
58:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.100	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.111	0.035	0.035	1.057	1.077	1.099	1.082	0.039	1.095	0.036	0.036	1.068	1.088	1.099	1.087	0.038	1.087	0.037	0.037	0.036	0.036	0.036	0.035	0.035	0.034	0.036
59:29:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.036	0.036	0.038	0.038	0.037	0.039	0.038	1.097	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.109	0.035	0.035	1.055	1.076	1.098	1.080	0.038	1.095	0.036	0.035	1.066	1.086	1.097	1.086	0.038	1.086	0.037	0.036	0.036	0.036	0.035	0.035	0.035	0.034	0.035
59:59:43	25.1	0.034	0.034	0.035	0.035	0.036	0.036	0.035	0.036	0.036	0.037	0.038	0.037	0.039	0.038	1.097	0.034	0.035	0.061	0.062	0.065	0.067	0.038	1.109	0.035	0.035	1.053	1.074	1.097	1.080	0.039	1.093	0.035	0.035	1.064	1.085	1.096	1.084	0.038	1.084	0.037	0.037	0.036	0.036	0.035	0.035	0.035	0.034	0.036
